GeneID,G1R2,G1R3,G1R4,G3R1,G3R2,G1R1,G3R4,logFC,logCPM,PValue,FDR
FBgn0030542,0.661787335,0.800446228,0.300408997,36.03795132,129.8091296,0.693751227,182.4296729,7.221047946,5.534143533,3.05E-24,1.46E-21
FBgn0030558,0.305886379,0.210643744,0.303119688,3.256149838,1.395224631,0.510111196,1.406748519,4.334428146,1.856463769,5.22E-07,2.91E-05
FBgn0030569,117.152903,107.3052936,8.68212043,788.0312393,827.2433705,142.3197994,640.1030397,2.60717378,8.379284573,0.000687516,0.015279608
FBgn0030590,16.05728694,17.70069293,6.175073833,103.5705935,87.79730038,14.24796071,37.47889344,2.131179049,5.190617476,0.000159854,0.004442584
FBgn0030592,12.38296755,17.14640077,6.575619162,82.16783583,55.60520903,9.42697733,24.61434776,1.917411839,4.769060752,0.000224122,0.005920227
FBgn0030593,0.496340501,0.674059981,1.468666209,2.753164687,4.626362937,1.023091258,1.803523743,1.766943537,1.068653626,0.000433323,0.010451006
FBgn0030597,0.397072401,0.71618873,0.166893887,4.698703074,6.475971843,0.367280061,5.051670003,3.718970789,1.576947309,2.74E-13,4.18E-11
FBgn0030734,61.46280674,63.05783519,55.71259091,100.7819132,111.4890921,60.58039762,123.0793136,0.876189101,6.416639556,0.001404741,0.027515466
FBgn0030737,10.47314856,9.551809093,25.03835559,36.22578932,49.02610071,9.127117646,53.77151933,1.86027343,4.975762211,7.37E-07,3.90E-05
FBgn0030745,150.187483,126.218532,196.5258971,60.2527811,56.6851871,97.12880388,51.29928505,-1.371580827,6.627545881,9.74E-06,0.000390469
FBgn0030747,2.714333992,3.118934513,2.236376088,9.914395637,10.50310049,2.856621882,7.430510606,1.669133736,2.531914283,1.53E-05,0.000586079
FBgn0030748,6.452115479,7.937517589,6.212975434,17.19623275,24.4699526,7.519969473,15.32270525,1.51138671,3.766426422,3.29E-06,0.000150492
FBgn0030756,0.926502269,1.095347469,1.068120879,3.230358363,5.3605999,0.897795705,8.586071552,2.332914893,1.629498866,1.42E-06,7.03E-05
FBgn0030769,3.697983583,4.573943537,3.33787483,8.200785968,13.47493262,5.512359526,13.19461216,1.25592113,2.872395242,0.001918822,0.035385928
FBgn0030774,1.95230242,2.282341819,2.369893201,5.91008746,7.306571096,2.572678483,3.029919888,1.325448842,2.034572116,0.001642451,0.031488332
FBgn0030798,83.79498297,74.33150101,104.5676655,45.31208259,48.53527537,67.4141328,40.13038354,-1.062269499,5.933102605,0.000715955,0.015810292
FBgn0030805,28.7304383,25.23512055,23.64395716,62.4319247,79.20510322,36.32461018,84.77070184,1.189620529,5.548432768,0.000424981,0.010285579
FBgn0030826,69.60976997,33.89969819,1.735696429,0.403794795,0.146865751,53.24826327,2.38065134,-5.665672708,4.341469326,1.17E-08,9.15E-07
FBgn0030828,0.562519484,2.064308692,0.367166552,0.33037756,8.1877656,0.28566227,3.102060837,2.431207823,1.428025782,0.002704552,0.045907873
FBgn0030830,0.529429868,0.758317479,16.89657081,0.073417236,0.514030127,0.204044397,0.108211425,-4.259906194,1.329115359,0.000257651,0.006691198
FBgn0030880,1.622609896,1.3488193,1.134878434,3.642541078,23.89773793,1.020699856,45.99779094,3.876173467,3.345956462,3.51E-07,2.03E-05
FBgn0030895,10.29152103,9.905943355,14.68666209,5.545570886,3.965375268,9.222810425,4.439517974,-1.187686957,3.002001424,0.000990601,0.020442947
FBgn0030925,25.40657832,31.43643025,34.63108245,78.66741217,84.66968407,34.879608,56.69972048,1.401011883,5.847479607,5.19E-06,0.000225029
FBgn0030947,1.868718679,1.916605299,1.93715404,3.896069146,7.08627247,2.256997189,4.709144774,1.346816709,1.852175741,0.000842019,0.017909694
FBgn0030981,20.35872924,19.84858085,56.96322027,7.439111516,4.594658293,16.22651472,4.093818543,-2.324964295,4.094785142,7.28E-08,5.00E-06
FBgn0030999,19.66110612,50.17660371,18.89873002,43.23137206,78.05033454,34.94816694,68.78026356,1.234057967,5.697295061,0.00103045,0.021170784
FBgn0031031,88.44294705,72.21773317,156.7076858,5.506968103,2.496717761,43.19238005,22.5536776,-3.466781013,5.621408404,1.61E-07,1.01E-05
FBgn0031097,369.5493277,484.0176166,167.5334247,1004.283542,876.5810836,304.4249758,804.8188631,1.394600866,9.232141959,6.39E-05,0.002049746
FBgn0031184,8.26467654,9.415354075,19.86060959,2.788177366,2.890232424,6.760710991,3.002322728,-1.975340709,2.812611994,4.69E-06,0.000205937
FBgn0031232,6.666481633,5.092607416,9.386579528,1.544331549,2.209984413,3.713609507,1.922816017,-1.7445862,2.040842112,5.85E-05,0.00190452
FBgn0031307,28.26774969,29.84324735,28.11667996,33.40484217,240.068959,38.5317185,43.13668088,1.566522712,5.950990971,0.002210794,0.039357237
FBgn0031324,1.091949103,1.474506209,0.801090659,4.074656572,3.634927329,0.816177914,3.102060837,1.874254666,1.33020747,1.45E-05,0.00056005
FBgn0031373,0.7279664,1.221734137,12.50485162,0.146834366,0.110149313,0.652943147,0.144281899,-4.908875306,1.029648454,7.58E-07,3.98E-05
FBgn0031412,2.15080884,5.982282333,2.738975695,13.33297377,25.26964763,7.616449864,20.43572753,1.976160813,3.518736713,8.10E-06,0.000332172
FBgn0031414,81.49844856,84.85024915,307.0470486,50.61090548,40.46077998,60.84198258,41.43199023,-1.561753218,6.483577149,0.000462655,0.010934596
FBgn0031432,17.81433231,29.79683411,19.4243256,34.22968114,85.71070523,25.91487303,74.57722172,1.536960551,5.504619393,8.34E-06,0.000340149
FBgn0031490,30.42335649,36.67172773,16.84957349,76.69938975,115.5841535,44.09756216,58.4926395,1.304107401,5.796793445,0.000196936,0.005313444
FBgn0031514,0.896801333,1.053218299,1.647216967,1.982266828,4.222391433,0.652942331,6.06097311,1.822554451,1.320396535,0.000288281,0.007322137
FBgn0031518,3.671893941,5.244397298,3.315821051,9.02767695,8.391284814,4.224047175,11.01357844,1.157478538,2.747481893,0.001664092,0.031787371
FBgn0031542,76.62339215,86.46293765,100.6927566,5.469584047,3.30447939,48.76785461,5.160494626,-4.251845026,5.364349223,2.44E-27,1.30E-24
FBgn0031558,6.08649783,11.16399205,9.611101875,81.34097422,51.21917353,20.81170838,15.91846686,3.137152368,5.869174733,1.28E-06,6.40E-05
FBgn0031560,0.645083823,1.053218721,0.768336065,5.359458194,13.254634,1.713973619,8.120077087,3.313485718,2.531660062,5.51E-11,6.16E-09
FBgn0031563,2.647149341,3.454557404,14.48638942,0.25871573,0.293731501,2.65257822,1.442818994,-3.333119266,1.712469328,7.64E-06,0.000317072
FBgn0031619,7.710172873,15.7932835,9.371926245,201.4878426,1156.538303,12.22581463,2022.98993,6.272682216,8.786803838,2.25E-15,4.81E-13
FBgn0031653,0.463251135,0.337029991,0.333787775,0.403794795,0.59317608,0.693751227,0.324634274,4.612511723,2.565813712,0.00023167,0.006107993
FBgn0031692,22.98951589,21.55325622,59.79161471,3.639787932,7.803386721,22.88466031,7.674812685,-2.28126973,4.267164829,3.41E-08,2.49E-06
FBgn0031717,74.58867411,83.94866444,110.4410721,191.3373643,177.6472379,88.97224405,117.6515912,0.973266522,7.051664865,0.001655004,0.031657372
FBgn0031747,0.529449722,8.174952268,0.500681662,115.0032466,317.9715099,0.979414313,427.2192452,6.764461033,7.124684305,1.58E-14,3.04E-12
FBgn0031775,3.729337081,6.956467521,9.877381072,3.859103568,1.557158808,4.292279648,1.542947025,-1.501697314,2.097329666,0.002034265,0.036829226
FBgn0031800,2.34934504,1.600893298,2.473203855,4.148110516,11.42403686,1.755949649,12.07840411,1.887167822,2.290907427,0.000279545,0.007152633
FBgn0031857,141.2216887,125.6523847,136.7002597,65.67719704,52.59415492,93.93596715,46.58042939,-1.233677341,6.471023876,2.66E-05,0.000940692
FBgn0031865,7.279826135,8.938088012,5.076518184,39.01956108,54.58795442,5.972368417,69.11222014,2.898714162,4.852924915,2.99E-17,7.83E-15
FBgn0031869,182.2792293,152.2147926,143.5626894,93.90079108,72.40297926,99.35052571,73.56057538,-1.005047226,6.757741775,0.001666452,0.031788655
FBgn0031907,207.2028021,317.3593068,220.4708974,304.6759661,716.9480289,277.9972982,730.8375437,1.079276351,8.637176389,0.002081681,0.037540631
FBgn0031926,59.83440997,79.79244008,82.73707722,27.57819339,30.04935677,50.37719422,47.9438652,-1.092490647,5.64828251,0.00080815,0.017322138
FBgn0031940,1145.494317,1224.649025,6690.308642,19.20323238,10.44167756,516.4733029,54.18073887,-6.74653816,10.23882715,5.75E-14,9.96E-12
FBgn0031957,254.6736349,386.9660392,211.008281,1057.729454,738.0040688,174.5367902,269.1048598,1.682684031,9.078575511,9.51E-05,0.002875556
FBgn0031959,19.16774367,25.12878758,42.1614014,96.06388309,100.1738241,22.29096147,47.19316648,1.400247579,5.631033308,0.000165521,0.00457261
FBgn0031976,3.079094626,5.319340129,6.315331456,8.701605311,37.29614961,6.735753086,59.2851908,2.441847296,4.115230514,4.85E-06,0.000211387
FBgn0032021,61.98779647,56.62858789,96.25047195,43.08328582,32.57724678,55.13971478,27.82582117,-0.982010634,5.670070524,0.00139364,0.027364364
FBgn0032025,19.55833684,22.66258327,19.50476111,31.35498523,61.99362685,21.88159071,75.44804234,1.513955965,5.335269876,4.28E-06,0.000189585
FBgn0032074,4.103067251,3.288625322,4.205732971,6.979468229,6.315208921,3.757593335,8.66352929,1.169941574,2.659461239,0.002623083,0.044887724
FBgn0032076,22.46148901,25.49046289,23.13565512,53.55376195,84.43030391,23.77288347,87.73677699,1.523220396,5.524031494,1.07E-06,5.51E-05
FBgn0032087,12.44858376,10.91134595,18.25064767,57.90086989,69.9815302,8.957511794,43.54535936,2.061724888,5.03604551,1.26E-09,1.14E-07
FBgn0032088,3.44668771,2.532367518,2.269047569,7.860243792,10.42991985,2.527543844,9.91542726,1.714636892,2.548633112,9.04E-06,0.000365421
FBgn0032125,59.01984903,184.253032,1520.3933,0.807589591,1.542138113,34.96363351,0.937832346,-8.491221875,7.817289054,4.47E-15,9.26E-13
FBgn0032127,0.066178734,0.042128749,0.033378777,0.587337884,0.47731369,0.081617791,0.288563799,2.892152802,-1.632515461,5.74E-05,0.001876909
FBgn0032129,209.3929542,185.2169378,263.1304437,75.86122188,95.55144485,134.2867316,81.21530728,-1.244082832,7.138315102,5.27E-05,0.001749512
FBgn0032144,13.63281911,10.6164447,11.35315696,1.908848124,6.645675218,12.12921998,4.546611214,-1.264116492,3.091877148,0.00239335,0.041854956
FBgn0032167,57.3400938,74.4327364,52.8874212,113.8984787,160.6699196,77.24075165,132.3416813,1.022889748,6.634112024,0.000520115,0.012061789
FBgn0032178,3.242757943,3.496686153,10.79372865,0.66075512,0.66092158,1.469128406,0.902082899,-2.79604626,1.485859284,4.55E-06,0.000200366
FBgn0032260,41.49902933,31.03287896,38.74174565,18.57423021,16.05305073,16.5310307,11.60268143,-1.248679302,4.509554791,0.000869317,0.018433764
FBgn0032289,7.147319766,6.951230918,3.90625157,58.245729,51.13548208,9.182001529,45.86877046,2.586790668,4.578471395,1.93E-07,1.19E-05
FBgn0032422,23.69860448,16.07822635,25.39207049,5.992571724,3.084180764,14.822199,8.043710842,-1.891841509,3.674908266,6.53E-07,3.50E-05
FBgn0032535,5.49458862,5.181836106,10.85190786,1.361063775,1.945971196,3.518355265,2.529106594,-1.906404162,2.016388735,0.000132434,0.003794604
FBgn0032536,4.268528313,2.696239925,7.109679602,1.615180283,1.358508194,3.550373925,1.695312318,-1.371533617,1.648546468,0.002143396,0.038403899
FBgn0032538,2421.1986,1052.923819,1292.262708,48.04827688,40.86906677,1250.894675,187.1852043,-4.203343288,9.631301889,2.81E-15,5.91E-13
FBgn0032612,1.722473605,1.85548491,13.65628259,49.53042403,36.51868293,1.035546132,10.74943435,3.450201115,4.774381866,6.99E-06,0.000292849
FBgn0032639,7.048035121,10.44792971,7.743876374,12.26067833,22.51305092,11.79393409,23.78584502,1.059593098,3.842502978,0.001952314,0.035816849
FBgn0032685,125.6665986,136.9340213,134.2360915,664.2541852,775.671095,140.2895569,562.1832392,1.951336825,8.352610463,8.71E-05,0.002678432
FBgn0032707,71.47174173,63.34246965,50.85136585,24.45579508,32.11421579,51.69038368,40.99557356,-1.028464908,5.468828175,0.00131222,0.025922882
FBgn0032713,27.94583647,35.14033929,30.6320045,42.56466647,79.74866805,33.07274517,119.9658545,1.211140912,5.71741207,0.000449031,0.010736483
FBgn0032773,119.2098175,128.0222111,135.8080116,1084.61268,1045.150435,168.7198453,484.7934294,3.037584563,9.311459108,6.97E-14,1.12E-11
FBgn0032783,19.23171534,16.63574978,23.98390332,43.20210391,58.13418585,26.81643539,16.65991783,1.335992683,5.257701192,0.001982491,0.036127702
FBgn0032797,41.23333203,36.48538385,75.69228625,28.27253323,22.32386948,37.23950892,19.6945442,-1.093006556,5.132688348,0.000942316,0.019710472
FBgn0032811,15.39787211,13.4216717,12.65860095,25.43965945,35.83447212,16.96882853,31.58417347,0.944818578,4.422480587,0.002509766,0.043344253
FBgn0032835,2.283166307,3.459305314,2.470029533,3.487318688,18.73593551,2.815838288,10.28013583,1.981959816,2.786222386,3.83E-05,0.001307373
FBgn0032889,68.4497395,76.95058635,78.91145209,78.12650224,254.4542761,79.37293891,350.7450953,1.338791452,7.066690533,0.002086274,0.037574612
FBgn0032935,24.61865432,29.27948043,25.43412775,40.51442042,56.83315357,27.1414252,60.63050048,0.901258644,5.256967692,0.002150462,0.038431202
FBgn0033027,133.9189543,129.9987867,267.6437217,21.34925488,39.60414877,111.1683289,44.01203916,-2.187976367,6.615485781,2.99E-09,2.51E-07
FBgn0033047,1.687557705,3.075398664,2.002726648,6.351332387,14.29712381,1.999635889,20.69081793,2.373779331,2.776511824,4.12E-06,0.000183634
FBgn0033124,1.522110871,3.201784911,1.769075206,3.744279012,8.554929977,2.203680367,11.79504528,1.887909497,2.372682197,4.80E-05,0.001595648
FBgn0033133,2.558354026,3.081574739,3.677219751,3.712265426,20.43761022,5.366202466,30.44848014,2.00062311,3.211110888,0.000743067,0.016279386
FBgn0033137,37.60533736,53.00066226,40.42920975,86.03193177,102.6801982,57.45084497,72.20291878,1.043355681,6.173666739,0.000608107,0.013740979
FBgn0033139,2.057238728,3.24391366,2.393481983,8.630599831,12.46545089,2.859822115,13.18314536,2.511999748,3.156203811,3.78E-09,3.10E-07
FBgn0033203,0.297804301,0.758317479,0.333787775,63.22879538,61.58569254,0.408088957,13.29081573,6.301669637,4.177030838,3.96E-16,9.64E-14
FBgn0033207,0.397072401,0.252772493,0.26703022,1.79872227,6.888260722,0.163235583,7.719081618,3.984317377,1.262691617,1.59E-08,1.21E-06
FBgn0033222,1.290485304,3.159656162,1.168255876,5.689835754,14.9995827,2.326108278,14.18673418,2.461893248,2.706164944,3.20E-07,1.86E-05
FBgn0033275,0.761055436,0.71618873,0.100136332,0.073417236,0.146865751,0.57132454,0.108211425,-2.32374216,-1.348087259,0.00126321,0.025206036
FBgn0033366,89.01682917,87.9171673,127.2003325,256.5265753,223.7293365,131.0849921,105.5144929,1.743942052,7.886897086,0.000498745,0.0116367
FBgn0033367,3.808453757,3.24391366,5.140331731,1.762013653,1.321791756,5.550989227,1.639569006,-1.359380864,1.658554365,0.001105138,0.022373797
FBgn0033403,13.71150562,12.66777774,20.21352006,9.514102844,4.92007608,13.16364386,4.448860227,-1.38087793,3.380490828,0.000319922,0.008022922
FBgn0033437,9.360187713,12.64153153,11.82546666,21.4549757,49.55250428,10.73204581,57.29903142,1.724321653,4.588036303,8.42E-06,0.000342345
FBgn0033448,22.33968705,20.38039732,21.42790341,67.77103898,74.96326419,26.56659925,52.19726674,1.437112433,5.396420519,1.20E-06,6.05E-05
FBgn0033464,12.67933577,15.88255095,44.54337772,12.09305577,7.600306269,14.53112547,6.85577448,-1.465772668,3.906985835,0.000828574,0.017650799
FBgn0033541,1.720646568,2.064308692,1.902590316,4.850463841,13.84210434,1.346693558,17.31382793,2.44600548,2.525758929,1.60E-05,0.00060827
FBgn0033580,17.89158606,69.96279189,610.0772674,1.691136654,1.1753152,7.193751323,1.587403886,-6.936297923,6.474998037,1.25E-10,1.32E-08
FBgn0033591,5.671087302,3.623072399,0.033378777,44.81938686,37.41515148,4.44816963,9.378575955,2.797123799,3.784332772,0.001280547,0.025442163
FBgn0033597,56.2674755,97.53479413,539.2875561,1.212797668,2.49673612,31.84044711,5.559109443,-5.489434312,6.534878539,4.14E-11,4.87E-09
FBgn0033598,0.363983034,0.252772493,0.166893887,1.505053328,5.617614963,0.897795705,11.01498519,4.409779974,2.252126098,3.73E-09,3.08E-07
FBgn0033600,3.507472877,13.871691,2.870574863,19.10349506,29.90146296,10.77354846,3.462859369,2.200136093,4.44327579,0.001881488,0.035070538
FBgn0033603,41.23871528,43.22965729,131.190712,2.569603244,1.03003561,16.92590982,3.318483686,-4.918656723,4.912605203,1.36E-14,2.65E-12
FBgn0033658,4.136303203,10.572041,3.972074519,144.2957031,114.3206675,6.910537587,24.20267543,3.927240126,5.697894559,2.34E-14,4.33E-12
FBgn0033702,30.64998225,40.65117143,35.05852106,10.81572509,14.3332895,29.99766388,27.7229626,-1.151092538,4.631734337,0.001960847,0.035874703
FBgn0033708,0.559077941,0.877974079,1.387892905,0.453968134,6.969022198,0.466608913,11.84550426,2.661473248,1.636559159,0.000608376,0.013740979
FBgn0033724,26.0294294,36.97742447,22.08170687,57.40567063,93.31537708,43.62774567,98.16229848,1.251937082,5.767442307,0.00015749,0.004394509
FBgn0033725,12.54085677,22.48002002,9.77996511,29.75339484,162.2653406,52.5591867,174.9744252,2.06950283,5.984595153,0.000445715,0.010710351
FBgn0033728,109.0367432,175.6233791,2786.647265,19.94434266,8.688100496,78.87420932,14.05493267,-5.682821645,8.649380316,5.89E-09,4.78E-07
FBgn0033731,325.6374217,351.7346091,338.9014034,46.17503611,129.4327861,247.7818205,71.77303086,-1.906837297,7.645431065,5.09E-08,3.60E-06
FBgn0033753,16.08129989,23.75522186,22.56148341,40.10930411,82.9578536,24.17278208,76.73488538,1.367914854,5.278891376,0.000371716,0.00917253
FBgn0033760,12.57396599,17.62243878,18.8607216,85.50402514,102.6294928,14.7800026,58.85002577,2.65894478,5.869343067,4.57E-14,8.02E-12
FBgn0033787,35.6580546,49.39656465,42.03522629,69.78268592,133.9478101,66.41314364,141.5029218,1.104093205,6.252676607,0.001195702,0.023997091
FBgn0033835,7.630771959,9.401784405,7.493762519,19.03686892,48.32845168,11.11936304,53.73487173,2.389422246,4.800708967,4.16E-10,4.04E-08
FBgn0033869,14.99471126,20.83763749,86.40430337,2.716437715,2.191336134,9.916561652,2.705285614,-3.856829562,4.149395284,1.37E-10,1.44E-08
FBgn0033872,74.57696802,73.63706757,136.6527894,39.80571393,36.91425188,63.61699565,38.24904244,-1.180977264,5.973900679,0.000177727,0.004870982
FBgn0033874,18.83456683,13.32127889,1.001363324,0.807589591,0.771045191,15.39295222,5.134415672,-2.706179983,2.821307909,0.000517364,0.012018102
FBgn0033887,7.280673223,8.856516222,7.940544131,19.84677115,45.06461738,16.60521311,38.52168004,1.536917828,4.315506724,0.000194961,0.005282591
FBgn0033917,46.67552987,43.66686945,54.76355884,20.41714966,19.98453672,32.71636925,17.53025078,-1.180237387,5.005147235,6.97E-05,0.002211291
FBgn0033926,79.11667594,106.3447581,61.08349656,207.1474642,225.2645242,166.296658,592.7136498,1.64952538,7.738574818,6.55E-05,0.002092073
FBgn0033942,84.16909135,117.9516497,57.25661973,525.5315845,429.5419326,83.10037855,104.4525204,2.570600297,8.21525637,3.82E-07,2.18E-05
FBgn0033945,6.684052087,8.467878514,6.241831388,12.5207956,16.77478574,6.937797929,24.46263534,1.267723849,3.601791281,0.000217216,0.005826596
FBgn0033949,3.342026043,3.24391366,2.102862981,10.97587671,14.59874935,5.917657155,12.40824335,2.25551352,3.407461681,6.07E-07,3.29E-05
FBgn0033968,23.93405848,19.84960037,15.96266599,31.02028706,73.59648378,22.89462298,144.5760902,1.748496821,5.495715934,0.000125248,0.003633779
FBgn0034010,0.794562721,1.263862465,0.701165281,5.362846032,5.411480437,2.377288755,5.585294444,1.843068088,1.591862466,0.000448718,0.010736483
FBgn0034030,391.5497859,200.2893402,69.57272104,41.01600697,45.68552906,311.9680921,89.24376536,-2.071015603,7.235556914,5.26E-06,0.000226107
FBgn0034045,6.353158419,6.82485731,6.241849412,13.65877009,21.02290328,5.672440581,27.26477739,1.549587681,3.631898472,1.71E-05,0.000638882
FBgn0034094,18.45086253,26.27869178,22.06877927,45.68571024,49.34285342,27.89557359,45.33084786,0.962190016,5.127856411,0.000880922,0.01865133
FBgn0034095,2.554250944,2.329365929,2.876035631,5.418485651,7.838225113,4.009114883,9.400578945,1.339450697,2.39754574,0.000804754,0.017322138
FBgn0034145,87.02331064,74.48584811,73.94287753,178.6224234,147.4642176,62.49169443,220.3372531,1.05813934,6.843886268,0.002138222,0.038360762
FBgn0034157,172.9326413,230.3963136,888.4839759,16.26496449,32.99427208,121.9449789,23.56235236,-3.872383176,7.561269186,6.22E-12,8.37E-10
FBgn0034225,9.594271821,12.87000838,16.01532769,24.95818922,50.39173556,10.00206853,33.46678534,1.564491763,4.588920508,2.71E-06,0.000125611
FBgn0034247,0.661787335,0.421287488,1.001363324,20.40323709,22.95159205,0.448897853,4.905728862,4.762402109,3.187387289,1.22E-17,3.38E-15
FBgn0034267,18.19927746,16.99813707,77.25461302,9.39741716,9.913577693,10.41786629,9.175078239,-1.609892642,4.355935693,0.001499028,0.029156412
FBgn0034289,1.257395937,0.463416237,0.26703022,1.358218857,2.272479462,0.163235583,0.541057123,3.233443082,1.530993222,0.000510091,0.011869023
FBgn0034291,0.264714934,0.252772493,0.100136332,2.242771736,8.224592187,0.122426687,15.56541987,5.527718799,2.180363025,7.00E-16,1.62E-13
FBgn0034296,0.066178734,0.168514995,1.435287431,0.881006826,5.147277397,0.040808896,19.31599178,4.415595877,2.303831229,1.39E-05,0.000540977
FBgn0034301,1.026501645,0.717338845,0.768237264,50.28618105,50.32843275,1.509936894,52.20230939,5.264284591,4.320153986,1.94E-13,3.03E-11
FBgn0034382,4.369980311,5.055534117,8.715265556,0.738118532,0.881194504,2.570960428,2.525059486,-1.831268423,1.763585539,0.000586812,0.013318991
FBgn0034383,68.33946918,63.81662872,88.13933222,6.764150161,5.457127414,45.91082383,27.63983098,-2.279783428,5.32933088,7.72E-07,4.04E-05
FBgn0034394,3.937634645,4.003233803,4.239104739,10.58142059,14.38661646,4.44816963,5.446651803,1.74135385,3.186550179,8.79E-05,0.002687075
FBgn0034443,84.34347231,129.1275642,78.74654424,193.8057171,437.1532502,111.2368879,487.3085082,1.743629778,7.777309448,1.74E-06,8.48E-05
FBgn0034470,1.786825805,2.780497423,2.369892533,14.94061557,38.84414422,1.713974435,54.56336364,3.840528494,4.059172998,3.87E-16,9.58E-14
FBgn0034484,7.479884447,6.40462304,9.37943647,1.615179182,2.900598576,4.7338319,2.092087541,-1.60374103,2.241748543,0.00012103,0.003541007
FBgn0034497,55.44221015,49.17225434,149.8868595,18.24899186,15.79093869,33.43101463,16.72688916,-2.233030189,5.450576782,2.52E-07,1.52E-05
FBgn0034499,123.3684097,204.7870055,378.8357728,45.54401497,33.44647173,85.41342676,32.33104872,-2.426628382,6.877174243,9.26E-09,7.42E-07
FBgn0034507,0.165532535,0.71618873,0.40054533,11.82072555,4.920002647,0.163235583,4.420148129,5.710405486,3.287665961,1.77E-11,2.18E-09
FBgn0034539,12.80558494,12.89139714,35.15152435,5.07034112,3.451345141,8.937270582,6.276262624,-1.88795977,3.480555466,2.46E-05,0.000885111
FBgn0034565,0.374247356,0.512116649,0.469949822,5.997956879,4.612344601,0.464303211,0.840183078,2.906592615,1.014410026,2.19E-06,0.00010407
FBgn0034647,1.191309854,2.10643702,1.668937539,2.129099463,15.72075962,2.612811175,5.482712178,1.96401191,2.237818404,0.000469204,0.011047408
FBgn0034661,76.45562906,65.45754349,53.49616666,222.9031701,227.6984569,88.12109699,150.7374323,1.329767844,6.961169588,5.76E-05,0.001880814
FBgn0034709,26.76761016,31.43470297,20.0923551,41.17880969,87.16225287,22.78262705,80.09571581,1.659074932,5.717253295,1.10E-06,5.62E-05
FBgn0034730,0.727966069,0.71618873,0.901226992,0.146834471,0.183582188,0.326471165,0.108211425,-2.033251066,-1.023617634,0.000558866,0.012768284
FBgn0034758,36.82355806,46.59686916,38.54872286,56.30391653,87.34041572,41.52403486,79.20933078,0.845723389,5.838842859,0.002958098,0.0493657
FBgn0034804,16.10182192,24.90122072,11.53743785,29.47470375,44.10060528,22.29462611,28.94123207,1.031257938,4.834743664,0.002362404,0.041418221
FBgn0034856,122.1990315,113.1607684,115.3894324,18.88618005,23.13601872,86.73930778,25.20860883,-2.241342705,6.051541402,2.23E-14,4.17E-12
FBgn0034887,31.68905785,14.84275866,18.5595015,61.84447669,69.97565557,23.95482177,48.76944623,1.184949726,5.190668545,0.001834459,0.034239937
FBgn0034894,62.88035236,101.1187711,61.44762565,117.7576116,199.1675818,95.59316498,186.5327976,1.004056833,6.915046139,0.001703296,0.032188416
FBgn0034903,266.7000976,224.3035348,167.6902716,68.38888908,84.28936786,194.3405066,126.4246178,-1.300365226,7.228783282,5.30E-05,0.001755483
FBgn0034990,0.629404427,0.971942253,1.069761236,32.7505808,32.77848958,0.45033759,44.0336093,5.485457568,4.176541237,1.10E-41,1.02E-38
